team,opponent,winner
DEN,LAL,1
BOS,MIA,1
OKC,NOP,1
NYK,PHI,1
LAC,DAL,0
MIL,IND,0
IND,MIL,1
PHX,MIN,0
CLE,ORL,1
ORL,CLE,0
MIN,PHX,1
PHI,NYK,0
NOP,OKC,0
DAL,LAC,1
LAL,DEN,0
MIA,BOS,0
